f [THz];Mag. [dBV]
0.0;-196.29644500835286
0.0038272257822460306;-203.41906062690623
0.007654451564492061;-203.52583630768237
0.011481677346738092;-205.9116231229335
0.015308903128984122;-201.4509668801659
0.019136128911230153;-193.79409357175345
0.022963354693476185;-194.79640107812503
0.026790580475722213;-206.3624258707023
0.030617806257968245;-197.03176988482798
0.03444503204021428;-199.51369819358456
0.038272257822460305;-172.7964138677828
0.042099483604706334;-156.87331128811618
0.04592670938695237;-152.27431384420123
0.0497539351691984;-156.6250537371809
0.053581160951444426;-172.356849064179
0.05740838673369046;-206.5073757416838
0.06123561251593649;-210.03338026816724
0.06506283829818252;-207.65128199814157
0.06889006408042855;-204.58091211807644
0.07271728986267458;-197.8610170748452
0.07654451564492061;-200.23851567336698
0.08037174142716665;-198.17343851395697
0.08419896720941267;-202.82481935261058
0.0880261929916587;-172.3173440842815
0.09185341877390474;-156.0116583479924
0.09568064455615076;-151.22178626035551
0.0995078703383968;-155.4200893502138
0.10333509612064283;-170.86977932884906
0.10716232190288885;-215.87369154913085
0.11098954768513489;-211.26254139003603
0.11481677346738092;-216.76736755307914
0.11864399924962694;-206.92783485854318
0.12247122503187298;-203.61435142773615
0.126298450814119;-206.50207450680168
0.13012567659636504;-199.24617809020648
0.13395290237861107;-199.71325820424403
0.1377801281608571;-179.97898215204395
0.14160735394310314;-163.3675313313886
0.14543457972534915;-158.3925388715652
0.14926180550759519;-162.40612626880693
0.15308903128984122;-177.17314314016957
0.15691625707208726;-199.1246970062124
0.1607434828543333;-199.82151376422752
0.16457070863657933;-212.34612817458373
0.16839793441882533;-203.33055269804726
0.17222516020107137;-206.10167195809598
0.1760523859833174;-217.62809202627378
0.17987961176556344;-207.79739790897867
0.18370683754780948;-204.3008251674645
0.1875340633300555;-179.47048888130382
0.19136128911230152;-162.8069088948261
0.19518851489454755;-157.6995133090847
0.1990157406767936;-161.5503398073979
0.20284296645903963;-176.29969827955122
0.20667019224128566;-200.43265296673212
0.2104974180235317;-201.32512807945216
0.2143246438057777;-203.3260706782225
0.21815186958802374;-196.18815865591677
0.22197909537026977;-201.1393929019459
0.2258063211525158;-216.42746895170052
0.22963354693476185;-210.14322225424795
0.23346077271700788;-210.78528557104423
0.2372879984992539;-192.3911600336987
0.24111522428149992;-174.77604684692272
0.24494245006374596;-169.46674367480364
0.248769675845992;-173.00561544269732
0.252596901628238;-186.65571701432486
0.25642412741048404;-198.91360371733245
0.2602513531927301;-197.4192607290348
0.2640785789749761;-203.505273043152
0.26790580475722214;-201.40265794028267
0.2717330305394682;-208.17914032210084
0.2755602563217142;-211.0415579438491
0.27938748210396025;-208.69736023012155
0.2832147078862063;-211.7388490699261
0.2870419336684523;-198.5810492246425
0.2908691594506983;-182.11745262888232
0.29469638523294434;-176.77455865617173
0.29852361101519037;-180.37921039847757
0.3023508367974364;-194.32753604018674
0.30617806257968244;-204.93911299091098
0.3100052883619285;-202.95299309048548
0.3138325141441745;-200.6230817122174
0.31765973992642055;-196.58455623570535
0.3214869657086666;-201.12002766972267
0.3253141914909126;-216.60393419688776
0.32914141727315865;-217.49507075440084
0.3329686430554047;-210.20924566114365
0.33679586883765067;-201.33291931974583
0.3406230946198967;-189.81381765970605
0.34445032040214274;-184.9712656667283
0.3482775461843888;-188.5621391208361
0.3521047719666348;-202.2803880568021
0.35593199774888085;-209.72237920149124
0.3597592235311269;-211.92278471013003
0.3635864493133729;-211.5859697397603
0.36741367509561895;-206.35868218005504
0.371240900877865;-216.25334252107615
0.375068126660111;-213.2804859297039
0.378895352442357;-210.3250615527025
0.38272257822460304;-213.17876158254361
0.3865498040068491;-202.3872239272093
0.3903770297890951;-183.69664826802358
0.39420425557134114;-177.93550921212898
0.3980314813535872;-181.24447812382684
0.4018587071358332;-196.1225307445002
0.40568593291807925;-211.6910484375864
0.4095131587003253;-213.10194857332436
0.4133403844825713;-216.7531724025601
0.41716761026481736;-213.1192851783776
0.4209948360470634;-216.7183223338426
0.42482206182930937;-216.6181672633325
0.4286492876115554;-213.40311917708962
