t [ps];I [nA]
18.908845511111114;(5.336577011163973e-08-1.2261988744887708e-08j)
18.9384832;(5.253100276388417e-08-1.2114773148501476e-08j)
18.968120888888894;(5.1677942755811565e-08-1.1937166623803452e-08j)
18.99775857777778;(5.0847423338824486e-08-1.172579131589437e-08j)
19.027396266666667;(5.0026915813494365e-08-1.150357101530546e-08j)
19.05703395555556;(4.923659892582167e-08-1.1311785005555777e-08j)
19.086671644444447;(4.8498110331317107e-08-1.1146461991604273e-08j)
19.116309333333334;(4.779223367412521e-08-1.100296150739515e-08j)
19.145947022222227;(4.7069250254179655e-08-1.0866237492948134e-08j)
19.175584711111114;(4.630964220479327e-08-1.0735047298610122e-08j)
19.2052224;(4.553981239157395e-08-1.0586805496687903e-08j)
19.234860088888894;(4.477800022368958e-08-1.0407846319097912e-08j)
19.26449777777778;(4.402303221041893e-08-1.0220475978165477e-08j)
19.294135466666667;(4.3242656151451015e-08-1.005682457122064e-08j)
19.32377315555556;(4.243098457025619e-08-9.908746944986575e-09j)
19.353410844444447;(4.162472489044945e-08-9.768695440048924e-09j)
19.383048533333334;(4.084305501895965e-08-9.643837218856791e-09j)
19.412686222222227;(4.005462974477136e-08-9.519404699757663e-09j)
19.442323911111114;(3.923527415173878e-08-9.367437651356595e-09j)
19.4719616;(3.838889571951202e-08-9.203981928565318e-09j)
19.501599288888894;(3.7515670846361314e-08-8.988849067251844e-09j)
19.53123697777778;(3.6638815682068045e-08-8.740854719122904e-09j)
19.560874666666667;(3.575753035383504e-08-8.52016973453729e-09j)
19.59051235555556;(3.4873559005701405e-08-8.349592668624761e-09j)
19.620150044444447;(3.397104317520755e-08-8.200049315259336e-09j)
19.649787733333334;(3.306146822006311e-08-8.044529119248934e-09j)
19.679425422222227;(3.218142818254366e-08-7.899353342832511e-09j)
19.709063111111114;(3.134258045780835e-08-7.768563484123153e-09j)
19.7387008;(3.0479534723003285e-08-7.637237490141852e-09j)
19.768338488888894;(2.9580065079351815e-08-7.504844077797498e-09j)
19.79797617777778;(2.8688483914753166e-08-7.3561977022658975e-09j)
19.827613866666667;(2.7797944433533148e-08-7.171495876531091e-09j)
19.85725155555556;(2.6910518885427148e-08-6.96122594455157e-09j)
19.886889244444447;(2.5999613695694583e-08-6.738288442499668e-09j)
19.916526933333333;(2.507794311361585e-08-6.512776029346189e-09j)
19.946164622222227;(2.4189951088752706e-08-6.294029521713008e-09j)
19.975802311111114;(2.3358208000895774e-08-6.085543718199449e-09j)
20.00544;(2.2507791632916536e-08-5.857531510617278e-09j)
20.035077688888894;(2.1598033707560724e-08-5.6212809141822926e-09j)
20.06471537777778;(2.06667714695371e-08-5.397673565495517e-09j)
20.094353066666667;(1.9725302024223025e-08-5.179564658991678e-09j)
20.12399075555556;(1.8753348783541238e-08-4.9920935278219595e-09j)
20.153628444444447;(1.7751615436552412e-08-4.798453616474347e-09j)
20.183266133333333;(1.672756304045606e-08-4.62045130122845e-09j)
20.212903822222227;(1.5722557235306033e-08-4.47715970647515e-09j)
20.242541511111114;(1.4752168792232597e-08-4.343504420014395e-09j)
20.2721792;(1.3784985736668853e-08-4.161514901944727e-09j)
20.301816888888894;(1.2855787026739109e-08-3.971257513417188e-09j)
20.33145457777778;(1.1942624651619458e-08-3.768962232765253e-09j)
